TracePro Surface Source Property Data
File Name  C:\Users\usr1\Desktop\project\optical\tracepro\source\CXA1507_LED1.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at Source Source Property Generator

Name   CXA1507_LED1
Catalog    CXA1507
Description    
User_Data  1
Spectral Type  3
Angular Type   4
Units  0
Quantity   1
Emission   14.8
Wavelength1    0
Wavelength2    0
Angle1 90
Angle2 10

Temperature	Wavelength	PolarAngle	AzimuthAngle	Emissivity
300	0.3809	0.000	0.000	0
300	0.3809	3.103	0.000	0
300	0.3809	6.207	0.000	0
300	0.3809	9.310	0.000	0
300	0.3809	12.414	0.000	0
300	0.3809	15.517	0.000	0
300	0.3809	18.621	0.000	0
300	0.3809	21.724	0.000	0
300	0.3809	24.828	0.000	0
300	0.3809	27.931	0.000	0
300	0.3809	31.034	0.000	0
300	0.3809	34.138	0.000	0
300	0.3809	37.241	0.000	0
300	0.3809	40.345	0.000	0
300	0.3809	43.448	0.000	0
300	0.3809	46.552	0.000	0
300	0.3809	49.655	0.000	0
300	0.3809	52.759	0.000	0
300	0.3809	55.862	0.000	0
300	0.3809	58.966	0.000	0
300	0.3809	62.069	0.000	0
300	0.3809	65.172	0.000	0
300	0.3809	68.276	0.000	0
300	0.3809	71.379	0.000	0
300	0.3809	74.483	0.000	0
300	0.3809	77.586	0.000	0
300	0.3809	80.690	0.000	0
300	0.3809	83.793	0.000	0
300	0.3809	86.897	0.000	0
300	0.3809	90.000	0.000	0
300	0.3912	0.000	0.000	0
300	0.3912	3.103	0.000	0
300	0.3912	6.207	0.000	0
300	0.3912	9.310	0.000	0
300	0.3912	12.414	0.000	0
300	0.3912	15.517	0.000	0
300	0.3912	18.621	0.000	0
300	0.3912	21.724	0.000	0
300	0.3912	24.828	0.000	0
300	0.3912	27.931	0.000	0
300	0.3912	31.034	0.000	0
300	0.3912	34.138	0.000	0
300	0.3912	37.241	0.000	0
300	0.3912	40.345	0.000	0
300	0.3912	43.448	0.000	0
300	0.3912	46.552	0.000	0
300	0.3912	49.655	0.000	0
300	0.3912	52.759	0.000	0
300	0.3912	55.862	0.000	0
300	0.3912	58.966	0.000	0
300	0.3912	62.069	0.000	0
300	0.3912	65.172	0.000	0
300	0.3912	68.276	0.000	0
300	0.3912	71.379	0.000	0
300	0.3912	74.483	0.000	0
300	0.3912	77.586	0.000	0
300	0.3912	80.690	0.000	0
300	0.3912	83.793	0.000	0
300	0.3912	86.897	0.000	0
300	0.3912	90.000	0.000	0
300	0.4014	0.000	0.000	0.001829225
300	0.4014	3.103	0.000	0.001826891
300	0.4014	6.207	0.000	0.001819536
300	0.4014	9.310	0.000	0.001807147
300	0.4014	12.414	0.000	0.001789668
300	0.4014	15.517	0.000	0.001766666
300	0.4014	18.621	0.000	0.001737221
300	0.4014	21.724	0.000	0.001700379
300	0.4014	24.828	0.000	0.001655694
300	0.4014	27.931	0.000	0.001604822
300	0.4014	31.034	0.000	0.001551067
300	0.4014	34.138	0.000	0.001496048
300	0.4014	37.241	0.000	0.001438075
300	0.4014	40.345	0.000	0.00137439
300	0.4014	43.448	0.000	0.001302247
300	0.4014	46.552	0.000	0.001220822
300	0.4014	49.655	0.000	0.001135337
300	0.4014	52.759	0.000	0.001054278
300	0.4014	55.862	0.000	0.0009774815
300	0.4014	58.966	0.000	0.0008948316
300	0.4014	62.069	0.000	0.0007984951
300	0.4014	65.172	0.000	0.0006947384
300	0.4014	68.276	0.000	0.0005932084
300	0.4014	71.379	0.000	0.0004818979
300	0.4014	74.483	0.000	0.00036257
300	0.4014	77.586	0.000	0.0002760855
300	0.4014	80.690	0.000	0.0001884828
300	0.4014	83.793	0.000	9.680309E-05
300	0.4014	86.897	0.000	3.574271E-05
300	0.4014	90.000	0.000	0
300	0.4116	0.000	0.000	0.02651213
300	0.4116	3.103	0.000	0.0264783
300	0.4116	6.207	0.000	0.02637169
300	0.4116	9.310	0.000	0.02619213
300	0.4116	12.414	0.000	0.02593881
300	0.4116	15.517	0.000	0.02560542
300	0.4116	18.621	0.000	0.02517866
300	0.4116	21.724	0.000	0.02464469
300	0.4116	24.828	0.000	0.02399703
300	0.4116	27.931	0.000	0.02325971
300	0.4116	31.034	0.000	0.02248061
300	0.4116	34.138	0.000	0.02168318
300	0.4116	37.241	0.000	0.02084294
300	0.4116	40.345	0.000	0.01991991
300	0.4116	43.448	0.000	0.01887429
300	0.4116	46.552	0.000	0.01769416
300	0.4116	49.655	0.000	0.01645517
300	0.4116	52.759	0.000	0.01528033
300	0.4116	55.862	0.000	0.01416726
300	0.4116	58.966	0.000	0.01296937
300	0.4116	62.069	0.000	0.0115731
300	0.4116	65.172	0.000	0.01006929
300	0.4116	68.276	0.000	0.008597747
300	0.4116	71.379	0.000	0.006984455
300	0.4116	74.483	0.000	0.005254958
300	0.4116	77.586	0.000	0.004001484
300	0.4116	80.690	0.000	0.002731801
300	0.4116	83.793	0.000	0.001403029
300	0.4116	86.897	0.000	0.000518042
300	0.4116	90.000	0.000	0
300	0.4218	0.000	0.000	0.1219062
300	0.4218	3.103	0.000	0.1217506
300	0.4218	6.207	0.000	0.1212604
300	0.4218	9.310	0.000	0.1204348
300	0.4218	12.414	0.000	0.11927
300	0.4218	15.517	0.000	0.117737
300	0.4218	18.621	0.000	0.1157747
300	0.4218	21.724	0.000	0.1133194
300	0.4218	24.828	0.000	0.1103414
300	0.4218	27.931	0.000	0.1069511
300	0.4218	31.034	0.000	0.1033687
300	0.4218	34.138	0.000	0.09970205
300	0.4218	37.241	0.000	0.09583852
300	0.4218	40.345	0.000	0.09159432
300	0.4218	43.448	0.000	0.08678643
300	0.4218	46.552	0.000	0.08136002
300	0.4218	49.655	0.000	0.075663
300	0.4218	52.759	0.000	0.07026094
300	0.4218	55.862	0.000	0.06514291
300	0.4218	58.966	0.000	0.05963482
300	0.4218	62.069	0.000	0.05321461
300	0.4218	65.172	0.000	0.04629988
300	0.4218	68.276	0.000	0.03953356
300	0.4218	71.379	0.000	0.03211543
300	0.4218	74.483	0.000	0.02416298
300	0.4218	77.586	0.000	0.01839934
300	0.4218	80.690	0.000	0.01256118
300	0.4218	83.793	0.000	0.006451309
300	0.4218	86.897	0.000	0.002382024
300	0.4218	90.000	0.000	0
300	0.4320	0.000	0.000	0.3374476
300	0.4320	3.103	0.000	0.337017
300	0.4320	6.207	0.000	0.3356601
300	0.4320	9.310	0.000	0.3333747
300	0.4320	12.414	0.000	0.3301503
300	0.4320	15.517	0.000	0.325907
300	0.4320	18.621	0.000	0.3204751
300	0.4320	21.724	0.000	0.3136787
300	0.4320	24.828	0.000	0.3054353
300	0.4320	27.931	0.000	0.2960506
300	0.4320	31.034	0.000	0.2861342
300	0.4320	34.138	0.000	0.2759845
300	0.4320	37.241	0.000	0.2652899
300	0.4320	40.345	0.000	0.2535416
300	0.4320	43.448	0.000	0.2402329
300	0.4320	46.552	0.000	0.2252121
300	0.4320	49.655	0.000	0.2094422
300	0.4320	52.759	0.000	0.1944888
300	0.4320	55.862	0.000	0.1803216
300	0.4320	58.966	0.000	0.1650747
300	0.4320	62.069	0.000	0.147303
300	0.4320	65.172	0.000	0.1281624
300	0.4320	68.276	0.000	0.1094325
300	0.4320	71.379	0.000	0.08889847
300	0.4320	74.483	0.000	0.06688536
300	0.4320	77.586	0.000	0.05093108
300	0.4320	80.690	0.000	0.0347705
300	0.4320	83.793	0.000	0.01785782
300	0.4320	86.897	0.000	0.006593663
300	0.4320	90.000	0.000	0
300	0.4423	0.000	0.000	0.7601793
300	0.4423	3.103	0.000	0.7592092
300	0.4423	6.207	0.000	0.7561525
300	0.4423	9.310	0.000	0.7510041
300	0.4423	12.414	0.000	0.7437404
300	0.4423	15.517	0.000	0.7341813
300	0.4423	18.621	0.000	0.7219447
